,coddpto,departamento,codmunicipio,municipio,cultivo,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_tha,Precipitación mm,Humedad %,Temperatura°C
46,13,Bolívar,"13,140",calamar,mango,2016,27.0,22.0,330.0,15.0,106.0,97.0,31.0
47,13,Bolívar,"13,140",calamar,ñame diamante,2016,20.0,8.0,56.0,7.0,106.0,97.0,31.0
48,13,Bolívar,"13,140",calamar,platano,2016,5.0,5.0,30.0,6.0,106.0,97.0,31.0
49,13,Bolívar,"13,140",calamar,yuca,2016,500.0,450.0,3150.0,7.0,106.0,97.0,31.0
50,13,Bolívar,"13,001",cartagena de indias,aji dulce,2016,3.0,3.0,6.0,2.0,1281.56,100.0,28.0
51,13,Bolívar,"13,001",cartagena de indias,arroz secano manual,2016,4.0,0.0,0.0,0.0,1281.56,100.0,28.0
52,13,Bolívar,"13,001",cartagena de indias,arroz secano mecanizado,2016,60.0,58.0,290.0,5.0,1281.56,100.0,28.0
53,13,Bolívar,"13,001",cartagena de indias,berenjena,2016,4.0,3.0,9.0,3.0,1281.56,100.0,28.0
54,13,Bolívar,"13,001",cartagena de indias,berenjena,2016,6.0,5.0,30.0,6.0,1281.56,100.0,28.0
55,13,Bolívar,"13,001",cartagena de indias,cilantro,2016,6.0,6.0,12.0,2.0,1281.56,100.0,28.0
56,13,Bolívar,"13,001",cartagena de indias,ciruela,2016,35.0,35.0,70.0,2.0,1281.56,100.0,28.0
57,13,Bolívar,"13,001",cartagena de indias,coco,2016,220.0,220.0,1760.0,8.0,1281.56,100.0,28.0
58,13,Bolívar,"13,001",cartagena de indias,frijol,2016,13.0,10.0,10.0,1.0,1281.56,100.0,28.0
59,13,Bolívar,"13,001",cartagena de indias,guanabana,2016,9.0,9.0,45.0,5.0,1281.56,100.0,28.0
60,13,Bolívar,"13,001",cartagena de indias,maiz tradicional,2016,10.0,2.0,2.0,1.0,1281.56,100.0,28.0
61,13,Bolívar,"13,001",cartagena de indias,maiz tradicional,2016,30.0,20.0,20.0,1.0,1281.56,100.0,28.0
62,13,Bolívar,"13,001",cartagena de indias,mango,2016,17.0,17.0,119.0,7.0,1281.56,100.0,28.0
63,13,Bolívar,"13,001",cartagena de indias,melon,2016,16.0,5.0,15.0,3.0,1281.56,100.0,28.0
64,13,Bolívar,"13,001",cartagena de indias,melon,2016,50.0,48.0,576.0,12.0,1281.56,100.0,28.0
65,13,Bolívar,"13,001",cartagena de indias,millo,2016,3.0,0.0,0.0,0.0,1281.56,100.0,28.0
66,13,Bolívar,"13,001",cartagena de indias,ñame diamante,2016,40.0,40.0,480.0,12.0,1281.56,100.0,28.0
67,13,Bolívar,"13,001",cartagena de indias,patilla,2016,3.0,2.0,8.0,4.0,1281.56,100.0,28.0
68,13,Bolívar,"13,001",cartagena de indias,pepino cohombro,2016,5.0,5.0,40.0,8.0,1281.56,100.0,28.0
69,13,Bolívar,"13,001",cartagena de indias,pepino cohombro,2016,4.0,4.0,32.0,8.0,1281.56,100.0,28.0
70,13,Bolívar,"13,001",cartagena de indias,pimenton,2016,5.0,3.0,15.0,5.0,1281.56,100.0,28.0
71,13,Bolívar,"13,001",cartagena de indias,platano,2016,30.0,30.0,270.0,9.0,1281.56,100.0,28.0
72,13,Bolívar,"13,001",cartagena de indias,tomate,2016,2.0,1.0,2.0,2.0,1281.56,100.0,28.0
73,13,Bolívar,"13,001",cartagena de indias,yuca,2016,560.0,540.0,5400.0,10.0,1281.56,100.0,28.0
74,13,Bolívar,"13,188",cicuco,maiz tradicional,2016,280.0,260.0,390.0,1.5,1464.0,91.0,30.0
75,13,Bolívar,"13,188",cicuco,maiz tradicional,2016,280.0,260.0,390.0,1.5,1464.0,91.0,30.0
76,13,Bolívar,"13,188",cicuco,maiz tradicional,2016,250.0,0.0,0.0,0.0,1464.0,91.0,30.0
77,13,Bolívar,"13,188",cicuco,mango,2016,9.0,9.0,72.0,8.0,1464.0,91.0,30.0
78,13,Bolívar,"13,188",cicuco,platano,2016,80.0,78.0,468.0,6.0,1464.0,91.0,30.0
79,13,Bolívar,"13,188",cicuco,yuca,2016,100.0,100.0,540.0,5.4,1464.0,91.0,30.0
80,13,Bolívar,"13,213",clemencia,frijol,2016,15.0,13.0,13.0,1.0,139.0,100.0,31.0
81,13,Bolívar,"13,213",clemencia,limon,2016,15.0,15.0,180.0,12.0,139.0,100.0,31.0
82,13,Bolívar,"13,213",clemencia,maiz tradicional,2016,150.0,75.0,75.0,1.0,139.0,100.0,31.0
83,13,Bolívar,"13,213",clemencia,maiz tradicional,2016,140.0,30.0,36.0,1.2,139.0,100.0,31.0
84,13,Bolívar,"13,213",clemencia,maiz tradicional,2016,210.0,45.0,45.0,1.0,139.0,100.0,31.0
85,13,Bolívar,"13,213",clemencia,mango,2016,297.0,217.0,1736.0,8.0,139.0,100.0,31.0
86,13,Bolívar,"13,213",clemencia,millo,2016,100.0,20.0,24.0,1.2,139.0,100.0,31.0
87,13,Bolívar,"13,213",clemencia,millo,2016,350.0,70.0,70.0,1.0,139.0,100.0,31.0
88,13,Bolívar,"13,213",clemencia,ñame espino,2016,90.0,45.0,360.0,8.0,139.0,100.0,31.0
89,13,Bolívar,"13,213",clemencia,platano,2016,100.0,100.0,700.0,7.0,139.0,100.0,31.0
90,13,Bolívar,"13,213",clemencia,yuca,2016,800.0,100.0,800.0,8.0,139.0,100.0,31.0
91,13,Bolívar,"13,204",cordoba,ajonjoli,2016,1200.0,1200.0,840.0,0.7,134.0,92.0,36.0
92,13,Bolívar,"13,204",cordoba,arroz riego,2016,850.0,850.0,5950.0,7.0,134.0,92.0,36.0
93,13,Bolívar,"13,204",cordoba,frijol,2016,18.0,18.0,22.0,1.2,134.0,92.0,36.0
94,13,Bolívar,"13,204",cordoba,maiz tradicional,2016,400.0,400.0,320.0,0.8,134.0,92.0,36.0
95,13,Bolívar,"13,204",cordoba,ñame,2016,8.0,8.0,64.0,8.0,134.0,92.0,36.0
96,13,Bolívar,"13,204",cordoba,tabaco negro,2016,4.0,4.0,7.0,1.8,134.0,92.0,36.0
97,13,Bolívar,"13,204",cordoba,yuca,2016,500.0,500.0,4000.0,8.0,134.0,92.0,36.0
98,13,Bolívar,"13,244",el carmen de bolivar,aguacate,2016,1880.0,1650.0,14850.0,9.0,1550.5666666666666,74.14252125158256,28.118124479352613
99,13,Bolívar,"13,244",el carmen de bolivar,aji dulce,2016,40.0,35.0,280.0,8.0,1550.5666666666666,74.14252125158256,28.118124479352613
100,13,Bolívar,"13,244",el carmen de bolivar,aji tabasco,2016,15.0,13.0,104.0,8.0,1550.5666666666666,74.14252125158256,28.118124479352613
101,13,Bolívar,"13,244",el carmen de bolivar,ajonjoli,2016,70.0,70.0,84.0,1.2,1550.5666666666666,74.14252125158256,28.118124479352613
102,13,Bolívar,"13,244",el carmen de bolivar,ajonjoli,2016,100.0,80.0,80.0,1.0,1550.5666666666666,74.14252125158256,28.118124479352613
103,13,Bolívar,"13,244",el carmen de bolivar,arroz secano manual,2016,200.0,200.0,400.0,2.0,1550.5666666666666,74.14252125158256,28.118124479352613
104,13,Bolívar,"13,244",el carmen de bolivar,cacao,2016,470.0,194.0,78.0,0.4,1550.5666666666666,74.14252125158256,28.118124479352613
105,13,Bolívar,"13,244",el carmen de bolivar,frijol,2016,50.0,50.0,50.0,1.0,1550.5666666666666,74.14252125158256,28.118124479352613
106,13,Bolívar,"13,244",el carmen de bolivar,frijol,2016,100.0,80.0,80.0,1.0,1550.5666666666666,74.14252125158256,28.118124479352613
107,13,Bolívar,"13,244",el carmen de bolivar,maiz tradicional,2016,350.0,300.0,450.0,1.5,1550.5666666666666,74.14252125158256,28.118124479352613
108,13,Bolívar,"13,244",el carmen de bolivar,maiz tradicional,2016,300.0,280.0,364.0,1.3,1550.5666666666666,74.14252125158256,28.118124479352613
