,CodigoEstacion,Categoria,Entidad,Departamento,Municipio,IdParametro,Etiqueta,Frecuencia,Fecha,Valor,Grado,Año
24,25020810,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Jacinto Del Cauca,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,4586.9,4,2016
25,25020810,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Jacinto Del Cauca,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,3921.0,50,2017
26,25020810,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Jacinto Del Cauca,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,4843.0,50,2018
27,25020810,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Jacinto Del Cauca,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,4598.0,50,2019
28,25020810,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Jacinto Del Cauca,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,4469.0,4,2020
29,29030430,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Mahates,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,1886.5,4,2016
30,29030430,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Mahates,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,2101.0,50,2017
31,29030430,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Mahates,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,1798.0,50,2018
32,29030430,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Mahates,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1634.5,4,2019
33,29030430,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Mahates,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,1317.3,4,2020
34,29010050,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Zambrano,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,1698.0,50,2017
35,29010050,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Zambrano,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,697.0,50,2018
36,29010050,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Zambrano,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,984.0,50,2019
37,29010050,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Zambrano,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,1225.0,50,2020
38,25021180,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Mompos,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,1685.0,50,2016
39,25021180,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Mompos,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,2614.0,50,2017
